NGC           RA          DE       MAG        XxY
2422      07 36 35.0  -14 28 47    4.4        25
2423      07 37 06.7  -13 52 17    6.7        12
2425      07 38 17.6  -14 52 40     U          5
2428      07 39 22.0  -16 31 42     U         13
2430      07 39 41.0  -16 17 46     U        7.5
2432      07 40 53.0  -19 04 36   10.2         7
2437      07 41 46.8  -14 48 36    6.1        20
2439      07 40 45.4  -31 41 33    6.9         9
2447      07 44 30.0  -23 51 24    6.2        10
2448      07 44 34.5  -24 40 51     U          5
2451      07 45 24.0  -37 57 00    2.8        50
2453      07 47 34.1  -27 11 41    8.3         4
2455      07 49 00.0  -21 18 06   10.2        15
2459      07 52 01.7  +09 33 29     U        1.5
2477      07 52 10.0  -38 31 48    5.8        20
2478      07 36 35.0  -14 28 47    4.4        25
2479      07 55 06.0  -17 42 28    9.6        11
2482      07 55 12.0  -24 15 30    7.3        10
2483      07 55 39.0  -27 53 42    7.6         9
2489      07 56 15.9  -30 03 51    7.9         5
2506      08 00 01.7  -10 46 11    7.6        12
2509      08 00 47.8  -19 03 02    9.3        12
2516      07 58 04.0  -60 45 12    3.8        22
2520      08 04 58.1  -28 08 46    6.5        10
2527      08 04 58.1  -28 08 46    6.5        10
2533      08 07 04.0  -29 52 00    7.6         6
2539      08 10 36.9  -12 49 14    6.5        15
2546      08 12 24.0  -37 37 00    6.3        70
2547      08 10 09.0  -49 13 30    4.7        25
2548      08 13 43.1  -05 45 02    5.8        30
2567      08 18 32.0  -30 38 24    7.4        11
2568      08 18 18.1  -37 06 19   10.7         3
2571      08 18 56.3  -29 44 57    7.0         7
2579      08 20 52.7  -36 12 58    7.5        19
2580      08 21 28.0  -30 17 30    9.7         8
2587      08 23 24.0  -29 30 31    9.2        10
2588      08 23 09.5  -32 58 30   11.8         2
2609      08 29 30.0  -61 06 36     U          6
2627      08 37 15.0  -29 57 18    8.4         9
2632      08 40 24.0  +19 40 12    3.1        70
2635      08 38 25.9  -34 46 18   11.2         3
2645      08 39 03.1  -46 13 38    7.0         3
2658      08 43 27.3  -32 39 22    9.2        10
2659      08 42 36.0  -45 00 00    8.6        15
2660      08 42 38.0  -47 12 02    8.8         3
2664      08 47 10.4  +12 36 13     U          5
2669      08 46 19.0  -52 56 06    6.1        14
2670      08 45 30.0  -48 47 30    7.8         7
2671      08 46 12.0  -41 52 38   11.6         5
2678      08 50 02.7  +11 20 19     U     10 2.5
2682      08 51 18.0  +11 49 00    6.9        25
2808      09 12 02.6  -64 51 45    6.2        14
2849      09 19 22.8  -40 31 13   12.5         3
2866      09 22 06.5  -51 06 08     U         20
2910      09 30 29.0  -52 54 50    7.2         6
2925      09 33 10.9  -53 23 45    8.3        15
2972      09 40 11.5  -50 19 13    9.9         5
2982      09 42 00.0  -44 01 36     U         12
2995      09 44 00.0  -54 35 00     U         20
2999      09 40 11.5  -50 19 13    9.9         5
3033      09 48 40.0  -56 24 42    8.8        12
3105      10 00 39.5  -54 47 15    9.7         2
3114      10 02 36.0  -60 06 00    4.2        35
3201      10 17 36.8  -46 24 38    6.9        20
3228      10 21 22.0  -51 43 42    6.0         5
3231      10 26 57.8  +66 48 45     U          4
3247      10 24 12.0  -57 45 48    7.6         5
3255      10 26 31.3  -60 40 42   11.0         2
3293      10 35 51.0  -58 13 48    4.7         5
3330      10 38 46.0  -54 06 54    7.4         6
3446      10 52 12.0  -45 09 36     U        6.5
3496      10 59 36.0  -60 20 12    8.2         7
3519      11 04 02.7  -61 22 05    7.7         8
3532      11 05 40.0  -58 44 00    3.0        50
3572      11 10 26.6  -60 14 38    6.6         7
3590      11 12 58.9  -60 47 20    8.2         2
3603      11 15 06.6  -61 15 40    9.1         4
3680      11 25 38.0  -43 15 00    7.6         7
3766      11 36 14.3  -61 36 36    5.3        15
3909      11 49 30.0  -48 15 54     U         20
3960      11 50 33.1  -55 40 35    8.3         7
4052      12 02 00.0  -63 13 18    8.8        10
4103      12 06 39.5  -61 15 00    7.4         6
4147      12 10 06.2  +18 32 33   10.4       4.4
4153      12 10 06.2  +18 32 33   10.4       4.4
4184      12 13 32.5  -62 42 47     U          2
4230      12 17 16.0  -55 05 12     U          5
4337      12 24 03.2  -58 07 25    8.9       3.5
4349      12 24 06.0  -61 52 13    7.4         4
4372      12 25 45.4  -72 39 31    7.2         5
4439      12 28 26.3  -60 06 11    8.4         4
4463      12 29 55.2  -64 47 22    7.2         6
4590      12 39 28.0  -26 44 32    7.3        11
4609      12 42 19.8  -62 59 38    6.9         6
4755      12 53 39.0  -60 21 42    4.2        10
4815      12 57 58.3  -64 57 42    8.6         5
4833      12 59 35.0  -70 52 27    8.4        14
4852      13 00 09.0  -59 36 48    8.9        12
4937      13 04 51.9  -47 13 08     U        0.5
5024      13 12 55.3  +18 10 11    7.7        13
5043      13 16 40.0  -60 02 30     U         10
5045      13 17 04.6  -63 24 48     U         60
5053      13 16 27.0  +17 41 55    9.0        10
5120      13 25 40.3  -63 27 29   13.0         3
5138      13 27 16.0  -59 02 30    7.6         8
5139      13 26 47.0  -47 28 51    5.3        55
5155      13 28 18.0  -63 28 00     U         60
5168      13 31 07.2  -60 56 21    9.1         4
5269      13 44 44.1  -62 54 54     U          3
5272      13 42 11.2  +28 22 34    6.3        18
5281      13 46 36.7  -62 54 34    5.9         8
5284      13 47 06.0  -59 13 39   10.0     30 20
5286      13 46 26.5  -51 22 22    7.4        11
5288      13 48 45.6  -64 41 11   11.8         3
5299      13 50 48.0  -60 24 00     U         30
5316      13 54 00.0  -61 51 00    6.0        15
5359      13 59 48.0  -70 24 00     U          8
5381      14 00 42.0  -59 33 00     U         11
5385      13 52 31.8  +76 09 48     U          6
5460      14 07 36.0  -48 18 00    5.6        35
5466      14 05 27.3  +28 32 06    9.2         9
5593      14 25 40.0  -54 47 54     U          6
5606      14 27 47.2  -59 37 56    7.7         3
5617      14 29 44.0  -60 42 39    6.3        10
5634      14 29 37.3  -05 58 33    9.5       5.5
5662      14 35 30.8  -56 39 46    5.5        30
5694      14 39 36.5  -26 32 16   10.2       4.3
5715      14 43 39.0  -57 34 13    9.8         7
5749      14 48 48.8  -54 29 37    8.8        10
5764      14 53 31.8  -52 40 16   12.6         3
5800      15 01 47.8  -51 55 06    8.0         5
5822      15 04 02.3  -54 20 21    6.5        35
5823      15 05 30.5  -55 36 13    7.9        12
5824      15 03 58.5  -33 04 02    9.1       7.4
5834      15 03 58.5  -33 04 02    9.1       7.4
5897      15 17 24.5  -21 00 35    8.4        11
5904      15 18 33.8  +02 05 00    5.7        23
5925      15 27 26.0  -54 31 42    8.4        20
5927      15 28 00.5  -50 40 20    8.0         6
5946      15 35 28.5  -50 39 32    8.4         3
5986      15 46 03.5  -37 47 08    7.6       9.6
5998      15 49 30.0  -28 36 00     U        2 1
5999      15 52 08.5  -56 28 22    9.0         3
