NGC         RA           DE           MAG          X Y
532         01 25 17.1  +09 15 51     12.9      3.10 1.0
533         01 25 31.4  +01 45 33     11.4      3.80 2.3
534         01 24 44.5  -38 07 44     13.3      1.00 0.9
535         01 25 31.0  -01 24 32     13.8      1.00 0.3
536         01 26 21.6  +34 42 12     12.4      3.30 1.2
537         01 25 20.7  +34 01 31     12.7      2.50 0.7
538         01 25 26.1  -01 33 03     13.7      1.30 0.6
539         01 25 21.7  -18 09 52     13.5      1.60 1.3
540         01 27 08.8  -20 02 12     14.5      0.90 0.4
541         01 25 44.3  -01 22 46     12.1      1.80 1.7
542         01 26 30.9  +34 40 34     14.8      1.00 0.2
543         01 25 50.0  -01 17 33     13.1      0.60 0.3
544         01 25 11.8  -38 05 40     13.3      1.50 1.1
545         01 25 59.0  -01 20 26     12.2      2.60 1.6
546         01 25 12.6  -38 04 09     13.7      1.40 0.5
547         01 26 00.7  -01 20 42     12.2      1.90 1.8
548         01 26 02.5  -01 13 31     13.7      0.80 0.5
549         01 25 07.0  -38 00 26     14.6      0.50 0.4
550         01 26 42.4  +02 01 20     12.7      1.40 0.6
551         01 27 40.6  +37 10 59     12.7      1.80 0.8
