NGC         RA           DE           MAG          X Y
6684A       18 52 23.6  -64 49 53     12.6      3.00 1.8
6685        18 39 58.6  +39 58 56     13.4      1.10 0.9
6686        18 40 06.9  +40 08 17     14.7      0.90 0.8
6687        18 37 22.0  +59 38 35     14.0      1.30 1.2
6688        18 40 39.9  +36 17 22     12.6      1.60 1.3
6689        18 34 49.9  +70 31 27     12.5      4.00 1.3
6690        18 34 49.9  +70 31 27     12.5      4.00 1.3
6691        18 39 12.0  +55 38 30     12.9      1.60 1.5
6692        18 41 41.5  +34 50 39     13.2      1.00 0.7
6695        18 42 42.8  +40 22 02     13.5      1.10 0.7
6696        18 40 05.0  +59 20 00     15.1      0.80 0.2
6697        18 45 14.9  +25 30 46     12.7      1.20 1.0
6699        18 52 01.9  -57 19 14     12.0      1.50 1.5
6700        18 46 04.3  +32 16 46     13.1      1.40 1.0
6701        18 43 12.6  +60 39 11     12.1      1.50 1.3
6702        18 46 57.6  +45 42 22     12.2      1.90 1.5
6703        18 47 18.9  +45 33 03     11.3      2.70 2.5
6706        18 56 51.0  -63 09 59     12.9      1.50 0.7
6707        18 55 21.9  -53 49 09     12.6      2.10 1.0
6708        18 55 35.6  -53 43 24     12.0      1.20 0.9
6710        18 50 34.0  +26 50 19     13.1      1.70 1.0
6711        18 49 00.9  +47 39 27     12.9      1.10 0.9
6713        18 50 44.2  +33 57 37     13.7      0.40 0.3
6718        19 01 28.9  -66 06 37     13.2      1.40 0.8
6719        19 03 07.3  -68 35 16     12.8      1.70 0.8
6721        19 00 50.9  -57 45 34     12.0      1.60 1.4
6722        19 03 40.1  -64 53 42     12.5      2.90 0.4
6725        19 01 56.4  -53 51 51     11.3      2.20 0.5
6730        19 07 33.6  -68 54 44     11.2      1.80 1.5
6732-1      18 56 24.1  +52 22 39     13.8      1.20 0.7
6732-2      18 56 26.2  +52 22 38     15.0      0.10 0.1
6733        19 06 10.7  -62 11 48     12.3      1.80 1.2
6734        19 07 14.4  -65 27 39     12.7      1.30 1.1
6736        19 07 29.3  -65 25 43     13.3      1.10 0.9
6739        19 07 48.7  -61 22 03     12.2      2.40 0.9
6740        19 00 50.5  +28 46 16     13.9      0.90 0.8
6744        19 09 46.1  -63 51 24      8.5      20.10 12.9
6744A       19 08 43.7  -63 43 48     14.5      1.80 0.7
6745-1      19 01 41.6  +40 44 45     13.9      1.30 0.5
6745-2      19 01 41.9  +40 45 33     12.5      0.40 0.2
6746        19 10 22.3  -61 58 06     12.6      1.40 0.9
6747        18 55 21.5  +72 46 20     14.1      0.50 0.4
6750        19 00 36.0  +59 10 02     13.1      1.00 0.6
6753        19 11 23.7  -57 02 56     11.1      2.40 2.1
6754        19 11 25.0  -50 38 31     12.1      1.80 0.9
6754A       19 08 44.0  -51 02 47     13.5      1.70 0.3
6757        19 05 06.1  +55 43 03     13.0      1.40 1.0
6758        19 13 52.5  -56 18 34     11.6      2.30 1.7
6759        19 06 57.0  +50 20 54     14.3      1.00 0.7
6761        19 15 04.7  -50 39 25     13.4      1.60 1.2
6762        19 05 37.0  +63 56 03     13.4      1.50 0.4
6763        19 05 37.0  +63 56 03     13.4      1.50 0.4
6764        19 08 16.6  +50 55 59     11.9      2.20 1.2
6768-1      19 16 32.7  -40 12 31     12.2      1.20 1.1
6768-2      19 16 29.7  -40 13 22     12.9      0.60 0.4
6769        19 18 22.8  -60 30 03     11.8      2.20 1.5
6770        19 18 37.0  -60 29 46     11.9      2.20 1.6
6771        19 18 39.4  -60 32 47     12.5      2.30 0.5
6776        19 25 19.1  -63 51 36     12.1      1.60 1.4
6776A       19 25 05.8  -63 40 58     14.1      1.40 0.3
6780        19 22 50.8  -55 46 33     12.6      1.90 1.6
6782        19 23 57.9  -59 55 20     11.0      2.40 2.0
6783        19 16 47.5  +46 01 05     14.4      0.60 0.6
6784A       19 26 31.2  -65 37 36     13.8      0.90 0.5
6784B       19 26 35.7  -65 37 03     13.7      0.90 0.5
6786        19 10 53.8  +73 24 39     12.9      1.10 0.9
6787        19 16 10.5  +60 25 03     13.9      1.20 1.0
6788        19 26 49.7  -54 57 02     11.9      2.90 0.9
6789        19 16 41.7  +63 58 19     13.2      1.30 1.0
6792        19 20 57.3  +43 07 56     12.1      2.20 1.3
6794        19 28 03.8  -38 55 07     12.9      1.70 1.4
6796        19 21 31.0  +61 08 42     12.6      1.90 0.4
6798        19 24 03.1  +53 37 27     13.2      1.60 0.9
6799        19 32 16.7  -55 54 28     12.4      1.60 1.2
6801        19 27 35.9  +54 22 21     13.9      1.30 0.7
6805        19 36 45.8  -37 33 14     12.8      1.10 0.9
6806        19 37 04.8  -42 17 45     13.2      1.20 0.8
6808        19 43 54.4  -70 37 56     11.8      1.60 0.9
6810        19 43 34.3  -58 39 22     11.4      1.20 0.9
6812        19 45 23.9  -55 20 49     12.5      1.10 0.6
6814        19 42 40.5  -10 19 28     11.2      3.00 2.8
6816        19 44 02.4  -28 24 03     12.9      1.20 0.8
6817-1      19 37 23.5  +62 23 02     14.9      0.70 0.6
6817-2      19 37 21.1  +62 23 00     15.3      0.20 0.2
6821        19 44 24.2  -06 50 04     13.1      1.30 1.1
6822        19 44 56.6  -14 48 23      8.7      15.40 14.2
6824        19 43 40.5  +56 06 32     12.2      1.90 1.4
6825        19 41 54.5  +64 04 24     14.4      0.50 0.3
6829        19 47 07.5  +59 54 26     14.1      1.60 0.4
6831        19 47 57.2  +59 53 35     13.3      1.40 1.4
6835        19 54 32.8  -12 34 03     12.5      2.40 0.7
6836        19 54 40.3  -12 41 18     12.9      1.70 1.5
6841        19 57 49.1  -31 48 39     12.7      1.50 1.4
6844        20 02 50.0  -65 13 44     12.7      1.40 1.1
6845        20 00 58.0  -47 04 12     13.0      2.30 1.0
6845A       20 00 58.0  -47 04 12     13.0      2.30 1.0
6845B       20 01 05.1  -47 03 34     13.9      1.10 0.6
6845C       20 00 56.8  -47 05 03     15.4      0.60 0.2
6845D       20 00 53.7  -47 05 41     14.8      0.70 0.2
6848        20 02 46.9  -56 05 25     12.1      2.40 1.0
6849        20 06 15.6  -40 11 54     12.1      1.90 1.1
6850        20 03 29.8  -54 50 43     12.5      2.10 1.1
6851        20 03 34.3  -48 17 04     11.8      2.00 1.5
6851A       20 05 48.9  -47 58 37     14.1      1.30 0.6
6851B       20 05 39.9  -47 58 45     15.3      1.10 0.2
6854        20 05 38.6  -54 22 30     12.2      2.00 1.3
6855        20 06 49.7  -56 23 23     12.9      1.50 1.3
6860        20 08 47.1  -61 05 59     12.6      1.30 0.8
6861        20 07 19.4  -48 22 10     11.1      3.00 2.0
6861A       20 05 48.9  -47 58 37     14.1      1.30 0.6
6861B       20 06 05.5  -48 28 28     14.1      1.20 0.3
6861C       20 06 41.3  -48 38 57     14.1      1.20 0.5
6861D       20 08 19.3  -48 12 43     12.4      2.10 0.7
6861E       20 11 01.4  -48 41 26     14.3      1.40 0.3
6861F       20 11 11.7  -48 16 32     14.7      1.60 0.3
6862        20 08 54.5  -56 23 30     12.7      1.60 1.3
6865        20 05 56.4  -09 02 26     15.0      0.80 0.6
6867        20 10 30.0  -54 47 03     13.1      2.00 0.7
6868        20 09 54.0  -48 22 48     10.7      3.60 2.8
6869        20 00 42.3  +66 13 41     12.0      1.60 1.3
6870        20 10 10.4  -48 17 12     12.3      2.60 1.3
6872        20 16 57.0  -70 46 04     11.8      6.00 1.5
6875        20 13 12.3  -46 09 41     12.1      2.40 1.4
6875A       20 11 55.9  -46 08 35     13.2      2.70 0.4
6876        20 18 19.1  -70 51 30     11.3      2.70 2.4
6876A       20 11 17.1  -71 00 46     13.9      1.20 0.3
6877        20 18 35.9  -70 51 10     12.2      1.10 0.6
6878        20 13 53.2  -44 31 36     12.7      1.60 1.3
6878A       20 13 36.1  -44 48 59     13.2      1.80 0.8
6880        20 19 29.6  -70 51 34     12.1      2.00 0.9
6887        20 17 17.0  -52 47 50     12.1      3.20 1.3
6889        20 18 53.3  -53 57 24     12.9      0.90 0.7
6890        20 18 18.0  -44 48 23     12.3      1.60 1.3
6893        20 20 49.6  -48 14 22     11.8      2.60 1.7
6897        20 21 01.3  -12 15 18     13.8      0.90 0.5
6898        20 21 08.0  -12 21 32     13.1      1.20 0.7
6899        20 24 22.3  -50 26 01     12.8      1.70 1.0
6900        20 21 35.1  -02 34 11     13.5      1.00 0.8
6901        20 22 21.6  +06 25 47     13.7      1.40 0.5
6902        20 24 27.9  -43 39 11     10.9      5.60 3.9
6902A       20 22 58.8  -44 16 22     14.8      0.60 0.5
6902A       20 23 00.4  -44 16 14     13.8      1.30 1.0
6902B       20 23 06.8  -43 52 08     13.6      1.50 1.2
6903        20 23 44.9  -19 19 33     11.9      1.50 1.5
6906        20 23 34.0  +06 26 40     12.3      1.60 0.8
6907        20 25 06.6  -24 48 33     11.2      3.40 2.6
6908        20 25 09.0  -24 48 10     14.6      0.30 0.1
6909        20 27 38.8  -47 01 38     11.7      2.20 1.1
6911        20 19 38.3  +66 43 44     14.3      1.70 1.1
6912        20 26 52.1  -18 37 03     13.2      1.40 1.1
6915        20 27 46.0  -03 04 36     12.2      1.50 0.9
6916        20 23 33.1  +58 20 39     13.5      1.80 1.2
6917        20 27 28.4  +08 05 50     13.4      1.40 1.0
6918        20 30 46.9  -47 28 27     13.6      0.90 0.7
6919        20 31 38.0  -44 13 00     13.0      1.60 1.2
6920        20 43 57.1  -80 00 01     11.2      1.80 1.5
6921        20 28 28.9  +25 43 26     13.4      0.90 0.2
6922        20 29 52.8  -02 11 30     13.5      1.30 1.0
6923        20 31 39.0  -30 49 55     12.0      2.60 1.3
6924        20 33 19.1  -25 28 28     12.8      2.00 1.7
6925        20 34 20.5  -31 58 48     11.3      4.40 1.1
6926        20 33 05.9  -02 01 44     12.4      2.00 1.4
6927        20 32 38.1  +09 55 01     14.5      0.50 0.2
6927A       20 32 36.7  +09 53 00     15.5      0.30 0.1
6928        20 32 50.1  +09 55 39     12.2      2.10 0.6
6929        20 33 21.6  -02 02 12     13.4      0.80 0.7
6930        20 32 58.8  +09 52 26     12.8      1.20 0.5
6931        20 33 41.4  -11 22 08     13.5      1.00 0.4
6932        20 42 08.6  -73 37 08     12.3      2.20 1.6
6935        20 38 20.0  -52 06 37     12.0      2.10 1.8
6936        20 35 56.3  -25 16 48     12.7      1.80 1.0
6937        20 38 45.8  -52 08 38     12.9      2.50 2.1
6941        20 36 23.5  -04 37 08     12.8      2.00 1.4
6942        20 40 37.9  -54 18 08     11.7      2.10 1.6
6943        20 44 33.7  -68 44 53     11.4      4.00 2.2
6944        20 38 23.8  +06 59 49     13.8      1.50 0.6
6944A       20 38 11.2  +06 54 09     14.3      0.90 0.7
6945        20 39 00.5  -04 58 20     13.4      1.60 0.8
6946        20 34 52.1  +60 09 12      8.8      11.50 9.8
6947        20 41 15.0  -32 29 11     13.5      1.60 1.0
6948        20 43 28.9  -53 21 26     12.8      2.20 1.0
6949        20 35 07.0  +64 48 12     13.8      1.40 1.2
6951        20 37 14.0  +66 06 21     10.7      3.90 3.2
6952        20 37 14.0  +66 06 21     10.7      3.90 3.2
6954        20 44 03.3  +03 12 34     13.2      1.00 0.6
6955        20 44 17.9  +02 35 43     13.6      1.40 1.3
6956        20 43 53.7  +12 30 44     12.3      1.90 1.9
6957        20 44 47.7  +02 34 50     14.4      0.50 0.4
6958        20 48 42.6  -37 59 52     11.4      2.50 1.9
6959        20 47 07.2  +00 25 49     13.7      0.60 0.3
6961        20 47 10.4  +00 21 50     13.7      0.60 0.5
6962        20 47 18.9  +00 19 19     12.1      2.90 2.2
6964        20 47 24.2  +00 18 05     13.0      1.70 1.3
6965        20 47 20.5  +00 29 03     14.0      0.60 0.4
6967        20 47 34.0  +00 24 44     13.1      0.90 0.6
6968        20 48 32.4  -08 21 35     13.3      1.50 1.1
6969        20 48 27.6  +07 44 25     14.1      1.10 0.3
6970        20 52 09.4  -48 46 41     12.6      1.00 0.6
6971        20 49 23.7  +05 59 43     13.7      1.10 0.9
6972        20 49 58.9  +09 53 59     13.3      1.10 0.5
6975        20 52 25.9  -05 46 17     14.0      0.80 0.7
6976        20 52 25.9  -05 46 17     14.0      0.80 0.7
6977        20 52 29.6  -05 44 45     13.2      1.30 0.9
6978        20 52 35.4  -05 42 40     13.3      1.50 0.7
6982        20 57 18.3  -51 51 46     13.7      1.00 0.7
6983        20 56 43.5  -43 59 10     13.4      0.80 0.6
6984        20 57 54.2  -51 52 15     12.7      1.80 1.2
6985        20 45 03.0  -11 06 15     13.8      1.50 0.8
6985A       20 45 01.4  -11 06 29     14.7      0.50 0.3
6986        20 56 30.6  -18 33 58     13.5      1.00 0.6
6987        20 58 10.4  -48 37 48     12.4      1.40 1.2
6988        20 55 48.9  +10 30 30     14.6      0.50 0.5
6990        20 59 57.0  -55 33 43     13.2      1.20 0.5
6993        20 53 54.0  -25 28 20     13.1      1.20 1.0
6998        21 01 37.7  -28 01 54     14.0      0.60 0.6
6999        21 01 59.6  -28 03 32     13.8      0.90 0.7
7001        21 01 07.7  -00 11 41     12.9      1.40 1.1
7002        21 03 45.0  -49 01 45     12.4      1.50 1.2
7003        21 00 42.3  +17 48 17     13.0      1.10 0.8
7004        21 04 02.0  -49 06 51     12.8      1.30 0.6
7007        21 05 27.8  -52 33 07     12.0      2.00 1.2
7010        21 04 39.4  -12 20 16     13.0      1.90 1.0
7012        21 06 45.5  -44 48 52     12.6      2.40 1.3
7013        21 03 33.6  +29 53 49     11.3      4.00 1.4
7014        21 07 52.0  -47 10 43     12.4      1.70 1.4
7015        21 05 37.3  +11 24 49     12.5      1.80 1.6
7016        21 07 16.2  -25 28 07     13.7      0.80 0.8
7017        21 07 20.5  -25 29 15     13.8      0.60 0.5
7018        21 07 25.4  -25 25 45     13.4      1.30 0.8
7019        21 06 25.8  -24 24 46     14.2      0.60 0.3
7020        21 11 19.9  -64 01 31     11.8      3.50 1.6
7021        21 11 19.9  -64 01 31     11.8      3.50 1.6
7022        21 09 35.1  -49 18 13     13.0      1.50 1.1
7025        21 07 47.4  +16 20 09     12.8      1.90 1.2
7029        21 11 51.7  -49 17 01     11.5      2.50 1.4
7030        21 11 13.3  -20 29 12     13.7      0.90 0.7
7032        21 15 22.9  -68 17 15     13.1      1.10 1.0
7033        21 09 36.2  +15 07 31     14.2      0.80 0.5
7034        21 09 38.1  +15 09 04     13.8      1.00 0.7
7035A       21 10 45.5  -23 08 07     14.2      1.00 0.7
7035B       21 10 47.3  -23 08 14     14.6      0.60 0.4
7038        21 15 07.5  -47 13 13     11.6      3.10 1.4
7038A       21 15 15.0  -47 36 46     14.6      1.10 0.6
7040        21 13 16.5  +08 51 54     14.0      0.90 0.8
7041        21 16 32.1  -48 21 47     11.2      3.60 1.5
7041A       21 17 57.2  -48 24 08     14.1      1.60 1.4
7041B       21 17 49.6  -48 23 26     15.0      0.50 0.3
7042        21 13 45.7  +13 34 30     12.0      2.00 1.8
7043        21 14 04.2  +13 37 35     13.7      1.30 1.0
7046        21 14 56.0  +02 50 04     13.1      1.90 1.4
7047        21 16 27.4  -00 49 35     13.4      1.20 0.7
7049        21 19 00.2  -48 33 41     10.6      4.50 3.0
7051        21 19 51.3  -08 46 57     13.0      1.40 1.1
7052        21 18 33.0  +26 26 50     12.6      2.10 1.1
7053        21 21 07.5  +23 05 07     13.1      1.40 1.3
7056        21 22 07.5  +18 39 56     12.9      1.50 0.9
7057        21 24 58.5  -42 27 37     12.6      1.40 1.0
7059        21 27 21.7  -60 00 53     11.9      3.30 1.7
7060        21 25 53.5  -42 24 39     12.9      2.00 1.2
7061        21 27 26.7  -49 03 48     13.3      1.20 0.7
7064        21 29 03.2  -52 46 02     12.5      3.80 0.7
7065        21 26 42.2  -06 59 41     13.4      1.10 0.9
7065A       21 26 57.8  -07 01 16     13.1      1.00 0.9
7066        21 26 13.7  +14 10 59     14.2      0.90 0.9
7068        21 26 32.3  +12 11 04     14.0      0.70 0.3
7069        21 28 05.8  -01 38 47     13.4      1.30 0.8
7070        21 30 25.2  -43 05 12     12.3      2.40 1.9
7070A       21 31 47.0  -42 50 49     12.3      1.70 1.6
7072        21 30 37.0  -43 09 09     13.5      0.90 0.7
7072A       21 30 25.6  -43 12 08     13.9      0.80 0.6
7073        21 29 26.0  -11 29 19     13.5      0.90 0.8
7074        21 29 38.8  +06 40 56     14.0      0.70 0.3
7075        21 31 32.9  -38 37 05     12.7      1.20 0.9
7077        21 29 59.5  +02 24 53     13.1      0.80 0.7
7079        21 32 35.0  -44 04 03     11.6      2.00 1.2
7080        21 30 01.9  +26 43 06     12.3      1.80 1.7
7081        21 31 24.3  +02 29 28     12.7      1.30 1.3
7083        21 35 44.6  -63 54 12     11.2      3.90 2.3
7085        21 32 25.1  +06 34 54     14.5      1.20 0.7
7087        21 34 33.4  -40 49 06     13.0      1.10 0.6
7090        21 36 27.7  -54 33 18     10.7      7.30 1.2
7091        21 34 07.7  -36 39 14     12.6      2.10 1.7
7095        21 52 24.8  -81 31 53     11.5      4.00 3.3
7096        21 41 19.1  -63 54 30     11.9      1.80 1.6
7096A       21 38 48.2  -64 21 01     13.4      2.00 0.6
7097        21 40 12.8  -42 32 21     11.7      1.80 1.2
7097A       21 40 37.9  -42 28 49     14.3      0.60 0.4
7098        21 44 16.0  -75 06 39     11.3      4.00 2.6
7101        21 39 34.5  +08 52 38     13.5      0.50 0.5
7102        21 39 44.5  +06 17 09     13.5      1.60 0.9
7103        21 39 51.3  -22 28 24     14.2      1.40 1.2
7104        21 40 03.2  -22 25 28     14.2      0.70 0.6
7105        21 41 41.3  -10 38 06     13.3      1.00 0.5
7106        21 42 36.5  -52 41 57     13.4      1.70 1.0
7107        21 42 26.5  -44 47 31     12.6      2.10 1.5
7108        21 41 53.7  -06 42 31     14.1      1.40 0.9
7109        21 41 58.5  -34 26 46     13.3      0.70 0.7
7110        21 42 12.0  -34 09 46     13.2      1.30 0.6
7111        21 41 53.7  -06 42 31     14.1      1.40 0.9
7112        21 42 26.5  +12 34 09     14.2      1.40 1.4
7113        21 42 26.5  +12 34 09     14.2      1.40 1.4
7115        21 43 39.2  -25 21 04     13.4      1.70 0.4
7116        21 42 40.4  +28 56 48     13.4      1.10 0.4
7117        21 45 47.0  -48 25 16     12.8      1.40 0.8
7118        21 46 09.8  -48 21 12     12.6      1.40 1.1
7119A       21 46 15.7  -46 30 56     12.8      1.20 0.9
7119B       21 46 14.9  -46 31 11     13.0      0.60 0.3
7120        21 44 33.2  -06 31 23     14.0      0.80 0.4
7121        21 44 52.6  -03 37 11     13.4      1.10 0.6
7123        21 50 46.4  -70 20 02     12.2      3.00 1.1
7124        21 48 05.3  -50 33 56     12.3      2.80 1.1
7125        21 49 16.2  -60 42 45     12.4      3.00 2.1
7126        21 49 18.3  -60 36 34     12.2      2.80 1.3
7130        21 48 19.3  -34 57 10     12.1      1.60 1.5
7131        21 47 36.0  -13 10 56     13.9      1.70 1.0
7132        21 47 16.4  +10 14 29     14.2      1.10 0.7
7135        21 49 46.0  -34 52 34     11.7      2.10 1.8
7137        21 48 13.0  +22 09 35     12.4      1.60 1.4
7138        21 49 01.0  +12 30 50     14.2      1.20 0.5
7140        21 52 15.1  -55 34 11     11.5      4.10 3.0
7141        21 52 15.1  -55 34 11     11.5      4.10 3.0
7144        21 52 42.6  -48 15 17     10.8      3.70 3.6
7145        21 53 20.5  -47 52 57     11.2      2.50 2.3
7146        21 51 47.4  +03 01 02     14.3      1.00 0.6
7147        21 51 58.3  +03 04 20     13.5      1.00 0.9
7149        21 52 11.6  +03 18 06     13.2      1.30 0.9
7151        21 55 04.0  -50 39 29     12.7      2.90 1.1
7152        21 53 59.0  -29 17 21     13.6      1.20 0.6
7153        21 54 35.3  -29 03 50     13.2      1.90 0.3
7154        21 55 21.1  -34 48 50     12.4      2.20 1.8
7155        21 56 09.8  -49 31 19     12.2      2.30 2.0
7156        21 54 33.5  +02 56 32     12.5      1.70 1.4
7157        21 56 56.7  -25 21 03     14.0      1.10 0.5
7159        21 56 25.6  +13 33 47     14.3      0.60 0.5
7162        21 59 38.8  -43 18 16     12.7      2.80 1.0
7162A       22 00 35.7  -43 08 30     12.5      2.60 2.2
7163        21 59 20.3  -31 53 01     13.3      1.90 1.1
7164        21 56 23.5  +01 21 52     14.2      0.70 0.5
7165        21 59 26.1  -16 30 46     13.7      0.90 0.8
7166        22 00 32.7  -43 23 24     11.9      2.40 0.9
7167        22 00 30.8  -24 37 59     12.5      1.70 1.3
7168        22 02 07.3  -51 44 36     11.9      1.90 1.4
7169        22 02 48.7  -47 41 51     13.6      1.00 0.5
7170        22 01 26.3  -05 25 56     13.8      1.20 0.8
7171        22 01 01.9  -13 16 11     12.2      2.60 1.5
7172        22 02 01.7  -31 52 12     11.9      2.40 1.3
7173        22 02 03.1  -31 58 23     12.0      1.20 0.9
7174        22 02 05.9  -31 59 33     13.3      2.30 1.2
7176        22 02 08.2  -31 59 26     11.4      0.80 0.8
7177        22 00 41.2  +17 44 14     11.2      3.20 2.1
7178        22 02 25.1  -35 47 27     14.1      1.10 0.5
7179        22 04 49.0  -64 02 49     12.8      2.00 0.8
7180        22 02 18.5  -20 32 52     12.6      1.50 0.7
7181        22 01 43.4  -01 57 36     14.0      1.00 0.8
7182        22 01 51.6  -02 11 46     14.4      0.90 0.4
7183        22 02 21.2  -18 54 56     12.0      3.80 1.1
7184        22 02 39.9  -20 48 45     10.9      5.90 1.3
7185        22 02 56.6  -20 28 17     12.6      2.30 1.5
7187        22 02 44.4  -32 48 12     12.5      1.30 1.2
7188        22 03 29.0  -20 19 03     13.2      1.60 0.8
7189        22 03 15.9  +00 34 17     13.5      1.00 0.7
7190        22 03 06.6  +11 11 59     13.8      0.90 0.5
7191        22 06 51.2  -64 38 01     12.9      1.60 0.6
7192        22 06 49.9  -64 18 58     11.2      1.90 1.8
7194        22 03 30.9  +12 38 13     13.1      1.10 0.8
7195        22 03 30.2  +12 39 41     14.7      0.40 0.3
7196        22 05 54.8  -50 07 09     11.5      2.50 1.9
7197        22 02 57.9  +41 03 34     12.8      1.60 0.8
7198        22 05 14.1  -00 38 52     13.3      1.50 1.0
7199        22 08 30.1  -64 42 22     13.1      1.10 0.8
7200        22 07 09.6  -49 59 44     12.9      1.20 0.8
7201        22 06 32.0  -31 15 50     12.9      1.60 0.5
7203        22 06 43.8  -31 09 48     12.7      1.60 0.9
7204A       22 06 53.1  -31 03 00     13.6      1.60 0.8
7204B       22 06 55.0  -31 03 13     14.2      1.10 0.6
7205        22 08 33.2  -57 26 33     11.0      4.00 2.0
7205A       22 07 32.0  -57 27 51     14.0      1.20 0.9
7206        22 05 40.9  +16 47 07     13.3      1.00 0.7
7207        22 05 45.6  +16 46 04     14.8      0.60 0.2
7208        22 08 24.7  -29 03 05     13.1      0.90 0.6
7210        23 06 50.5  +28 10 46     13.5      2.00 1.8
7211        22 06 21.8  -08 05 22     14.3      1.00 0.7
7212        22 07 02.2  +10 14 05     13.9      1.20 0.6
7213        22 09 16.2  -47 10 01     10.1      3.10 2.8
7214        22 09 07.6  -27 48 35     12.7      2.20 1.4
7215        22 08 34.5  +00 30 44     13.9      1.10 0.4
7216        22 12 36.0  -68 39 43     12.6      1.70 1.0
7217        22 07 52.1  +31 21 34     10.1      4.00 3.4
7218        22 10 11.5  -16 39 38     12.0      2.60 1.1
7219        22 13 08.9  -64 50 56     12.5      1.70 1.0
7220        22 11 30.9  -22 57 11     13.5      0.90 0.7
7221        22 11 15.1  -30 33 48     12.1      2.00 1.6
7222        22 10 51.7  +02 06 23     13.8      1.20 1.2
7223        22 10 09.2  +41 01 02     12.2      1.40 1.1
7224        22 11 35.3  +25 51 54     13.2      1.60 1.0
7225        22 13 07.8  -26 08 54     12.3      2.00 1.0
7227        22 11 31.3  +38 43 15     13.5      1.30 0.6
7228        22 11 48.6  +38 41 56     13.5      2.10 1.2
7229        22 14 03.3  -29 23 00     12.5      1.80 1.5
7230        22 14 13.1  -17 04 28     14.1      0.90 0.9
7231        22 12 30.3  +45 19 43     13.0      1.90 0.7
7232        22 15 37.6  -45 51 01     12.0      2.60 1.0
7232A       22 13 41.1  -45 53 37     13.0      2.10 0.4
7232B       22 15 52.4  -45 46 50     13.6      1.60 1.5
7233        22 15 49.0  -45 50 47     12.5      1.70 1.3
7236        22 14 45.0  +13 50 47     13.6      0.60 0.6
7237        22 14 46.9  +13 50 27     13.6      0.60 0.6
7239        22 15 01.3  -05 03 10     13.8      1.10 0.7
7240        22 15 22.7  +37 16 50     14.2      0.60 0.6
7241        22 15 49.7  +19 13 53     12.6      3.40 1.1
7242        22 15 39.3  +37 17 52     13.2      2.30 1.7
7244        22 16 26.7  +16 28 18     13.8      0.70 0.4
7246        22 17 42.6  -15 34 12     14.5      1.50 0.8
7247        22 17 41.1  -23 43 50     12.6      1.40 0.8
7248        22 16 52.5  +40 30 19     12.4      1.80 0.9
7249        22 20 30.9  -55 07 29     13.4      1.10 0.8
7250        22 18 17.7  +40 33 47     12.6      1.70 0.8
7251        22 20 27.2  -15 46 23     12.6      1.90 1.7
7252        22 20 44.8  -24 40 42     11.4      2.10 1.7
7253A       22 19 27.3  +29 23 49     13.2      1.70 0.8
7253B       22 19 30.0  +29 23 16     14.3      1.60 0.5
7254        22 22 36.0  -21 44 05     13.2      1.30 0.6
7255        22 23 08.0  -15 32 28     14.1      1.30 0.4
7256        22 22 36.0  -21 44 05     13.2      1.30 0.6
7257        22 22 36.5  -04 07 15     12.7      1.90 1.4
7258        22 22 58.1  -28 20 43     13.2      1.40 0.6
7259        22 23 05.6  -28 57 16     13.1      1.10 0.9
7260        22 22 36.5  -04 07 15     12.7      1.90 1.4
7262        22 23 28.4  -32 21 53     14.1      0.80 0.7
7263-1      22 21 45.2  +36 20 59     14.6      0.80 0.7
7263-2      22 21 46.0  +36 21 09     15.0      0.40 0.4
7264        22 22 13.5  +36 23 13     13.8      2.20 0.3
7265        22 22 27.5  +36 12 37     12.1      2.40 1.9
7266        22 23 59.0  -04 04 23     13.4      0.90 0.7
7267        22 24 21.5  -33 41 36     12.2      1.60 1.4
7268        22 25 40.6  -31 12 04     13.2      1.10 0.6
7268A       22 25 42.2  -31 12 01     14.5      1.10 0.6
7269        22 25 46.8  -13 10 01     13.7      1.00 0.7
7270        22 23 47.5  +32 24 11     14.0      0.90 0.6
7271        22 23 57.5  +32 22 03     15.6      0.70 0.3
7272        22 24 31.6  +16 35 19     13.6      0.90 0.8
7273        22 24 09.1  +36 12 01     13.8      0.80 0.5
7274        22 24 11.0  +36 07 35     12.8      1.50 1.5
7275        22 24 17.3  +32 26 49     14.3      0.90 0.2
7276        22 24 14.3  +36 05 17     13.9      0.90 0.9
7277        22 26 10.9  -31 08 45     13.3      1.50 0.6
7278        22 28 22.6  -60 10 10     14.4      0.80 0.5
7279        22 27 12.6  -35 08 24     13.8      1.20 0.8
7280        22 26 27.6  +16 08 54     12.1      2.10 1.5
7282        22 25 53.9  +40 18 56     13.7      2.50 1.0
7283        22 28 32.7  +17 28 15     14.5      0.90 0.4
7284        22 28 35.8  -24 50 40     12.1      2.30 1.6
7285        22 28 37.8  -24 50 26     11.9      2.10 1.5
7286        22 27 50.5  +29 05 48     12.5      1.60 0.7
7287A       22 28 48.9  -22 12 08     15.0      0.30 0.2
7288        22 28 14.9  -02 53 05     13.0      2.30 1.5
7289        22 29 20.1  -35 28 19     13.1      1.30 1.0
7290        22 28 26.5  +17 08 52     13.3      1.60 1.0
7291        22 28 29.4  +16 47 01     13.1      1.80 1.7
7292        22 28 25.7  +30 17 35     12.5      2.10 1.6
7294        22 32 07.8  -25 23 53     12.5      2.00 1.2
7297        22 31 10.2  -37 49 37     13.2      0.90 0.6
7298        22 30 50.6  -14 11 19     13.7      1.30 1.1
