 NI AC  RH    RM    RS    V     DG    DM    DS   BMAG     X      Y      TYPE
4839      12    57  24.4  +       27    29    51   13.0   4.00    1.9    E5
5078      13    19  49.8  -       27    24    35   12.0   4.00    1.9    Sa
4062      12     4   3.8  +       31    53    43   11.9   4.00    1.8   SBc
7013      21     3  33.6  +       29    53    49   12.4   4.00    1.4   S0-a
674        1    51  17.5  +       22    21    27   12.8   4.00    1.3   SBbc
697        1    51  17.5  +       22    21    27   12.8   4.00    1.3   SBbc
6689      18    34  49.9  +       70    31    27   13.1   4.00    1.3   SBcd
6690      18    34  49.9  +       70    31    27   13.1   4.00    1.3   SBcd
5775      14    53  57.4  +        3    32    42   12.2   4.00    1.1   SBc
676        1    48  57.2  +        5    54    22   12.8   4.00    1.0   S0-a
4835      12    58   7.7  -       46    15    54   12.4   4.00    0.9   SBbc
3735      11    35  57.1  +       70    32     8   12.6   4.00    0.8    Sc
5301      13    46  24.2  +       46     6    27   13.4   4.00    0.8   SBc
1302       3    19  51.1  -       26     3    38   11.6   3.90    3.7  SB0-a
4136      12     9  17.8  +       29    55    40   11.8   3.90    3.6   SBc
5483      14    10  25.0  -       43    19    30   11.9   3.90    3.6   SBc
3147      10    16  53.2  +       73    24     1   11.4   3.90    3.5   Sbc
3313      10    37  25.5  -       25    19     8   12.2   3.90    3.2   SBab
6951      20    37  14.0  +       66     6    21   11.6   3.90    3.2   SBbc
6952      20    37  14.0  +       66     6    21   11.6   3.90    3.2   SBbc
1326       3    23  56.4  -       36    27    51   11.4   3.90    2.9   SB0
4941      13     4  13.0  -        5    33     5   11.9   3.90    2.7   SBab
1537       4    13  40.7  -       31    38    44   11.5   3.90    2.6  E/SB0
7083      21    35  44.6  -       63    54    12   11.9   3.90    2.3   Sbc
2207       6    16  21.8  -       21    22    22   11.7   3.90    2.2  SBbc/P
150        0    34  15.7  -       27    48    18   12.0   3.90    1.9   SBb
1090       2    46  34.0  -        0    14    52   12.5   3.90    1.8   SBbc
1024       2    39  11.8  +       10    50    52   13.1   3.90    1.5   Sab
1527       4     8  24.1  -       47    53    48   11.7   3.90    1.5   SB0
4220      12    16  11.8  +       47    52    59   12.3   3.90    1.5   S0-a
3027       9    55  40.3  +       72    12    15   12.2   3.90    1.4   SBcd
4448      12    28  15.5  +       28    37    17   12.0   3.90    1.4   SBab
4402      12    26   7.8  +       13     6    47   12.6   3.90    1.1    Sb
7361      22    42  17.9  -       30     3    27   12.7   3.90    1.0    Sc
931        2    28  14.5  +       31    18    40   13.6   3.90    0.8   Sbc
1406       3    39  23.0  -       31    19    20   12.4   3.90    0.7   SBbc
3936      11    52  20.4  -       26    54    21   12.9   3.90    0.7   SBbc
5422      14     0  41.8  +       55     9    53   12.8   3.90    0.7   S0-a
3501      11     2  47.3  +       17    59    23   13.6   3.90    0.5    Sc
4289      12    21   2.4  +        3    43    22   14.6   3.90    0.4    Sc
4278      12    20   6.7  +       29    16    49   11.1   3.80    3.8    E1
